
#---------------------------------------------------------------------------------------------------------
## List of Regions, root logical volumes and cuts. 
## Number of regions = 26
#                 Region,                        LogicalVolume,  Cuts:Gamma, Electron, Positron, Proton, Units
#---------------------------------------------------------------------------------------------------------
   "TrackerOuterSensRegion" ,     "OTLayer5R1BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer5R1BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer5R12BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer5R12BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer5R11BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer5R11BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer5R10BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer5R10BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R9BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R9BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R8BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R8BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R7BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R7BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R6BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R6BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R5BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R5BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R4BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R4BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R3BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R3BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R2BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R2BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R1BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,     "OTLayer4R1BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer4R12BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer4R12BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer4R11BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer4R11BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer4R10BModuleUpper2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" ,    "OTLayer4R10BModuleLower2Sactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R9BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R9BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R8BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R8BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R7BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R7BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R6BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R6BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R5BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R5BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R4BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R4BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R3BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R3BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R2BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R2BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R20BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R20BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R1BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R1BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R19BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R19BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R18BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R18BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R17BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R17BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R16BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R16BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R15BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R15BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R14BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R14BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R13BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R13BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R12BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R12BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R11BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R11BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R10BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer3R10BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R9BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R9BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R8BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R8BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R7BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R7BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R6BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R6BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R5BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R5BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R4BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R4BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R3BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R3BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R2BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R2BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R1BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R1BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R18BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R18BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R17BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R17BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R16BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R16BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R15BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R15BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
