New run! (theta, phi) = 
90	21.8014
1	3457.81	logic-World	Galactic
2	0.107703	HGCalEEAbsorberCopper1	Copper
3	0.32311	HGCalEEAbsorberStainlessSteel1	StainlessSteel
4	0.0538516	HGCalEEAbsorberEpoxy1	Epoxy
5	2.98338	HGCalEEAbsorberLead11	Lead
6	0.0538516	HGCalEEAbsorberEpoxy2	Epoxy
7	0.32311	HGCalEEAbsorberStainlessSteel2	StainlessSteel
8	0.107703	HGCalEEAbsorberCopper2	Copper
9	10.0433	HGCalEELayerF1	Air
10	6.51605	HGCalEECoolingPlate1	Copper
11	10.0433	HGCalEELayerB2	Air
12	0.107703	HGCalEEAbsorberCopper3	Copper
13	0.32311	HGCalEEAbsorberStainlessSteel3	StainlessSteel
14	0.0538516	HGCalEEAbsorberEpoxy3	Epoxy
15	5.35285	HGCalEEAbsorberLead21	Lead
16	0.0538516	HGCalEEAbsorberEpoxy4	Epoxy
17	0.32311	HGCalEEAbsorberStainlessSteel4	StainlessSteel
18	0.107703	HGCalEEAbsorberCopper4	Copper
19	10.0433	HGCalEELayerF3	Air
20	6.51605	HGCalEECoolingPlate2	Copper
21	10.0433	HGCalEELayerB4	Air
22	0.107703	HGCalEEAbsorberCopper5	Copper
23	0.32311	HGCalEEAbsorberStainlessSteel5	StainlessSteel
24	0.0538516	HGCalEEAbsorberEpoxy5	Epoxy
25	5.35285	HGCalEEAbsorberLead22	Lead
26	0.0538516	HGCalEEAbsorberEpoxy6	Epoxy
27	0.32311	HGCalEEAbsorberStainlessSteel6	StainlessSteel
28	0.107703	HGCalEEAbsorberCopper6	Copper
29	10.0433	HGCalEELayerF5	Air
30	6.51605	HGCalEECoolingPlate3	Copper
31	10.0433	HGCalEELayerB6	Air
32	0.107703	HGCalEEAbsorberCopper7	Copper
33	0.32311	HGCalEEAbsorberStainlessSteel7	StainlessSteel
34	0.0538516	HGCalEEAbsorberEpoxy7	Epoxy
35	5.35285	HGCalEEAbsorberLead23	Lead
36	0.0538516	HGCalEEAbsorberEpoxy8	Epoxy
37	0.32311	HGCalEEAbsorberStainlessSteel8	StainlessSteel
38	0.107703	HGCalEEAbsorberCopper8	Copper
39	10.0433	HGCalEELayerF7	Air
40	6.51605	HGCalEECoolingPlate4	Copper
41	10.0433	HGCalEELayerB8	Air
