New run! (theta, phi) = 
90	5.71059
1	3226.51	logic-World	Galactic
2	0.100499	HGCalEEAbsorberCopper1	Copper
3	0.301496	HGCalEEAbsorberStainlessSteel1	StainlessSteel
4	0.0502494	HGCalEEAbsorberEpoxy1	Epoxy
5	2.78382	HGCalEEAbsorberLead11	Lead
6	0.0502494	HGCalEEAbsorberEpoxy2	Epoxy
7	0.301496	HGCalEEAbsorberStainlessSteel2	StainlessSteel
8	0.100499	HGCalEEAbsorberCopper2	Copper
9	0.226122	HGCalEEAirGap08FineHD3	Air
10	1.60798	HGCalEEPCB08FineHD3	HGC_G10-FR4
11	3.7486	HGCalEEConnector08FineHD3	HGC_EEConnector
12	1.60798	HGCalEEMotherBoard08FineHD3	HGC_G10-FR4
13	0.0753741	HGCalEEEpoxy08FineHD3	Epoxy
14	0.120599	HGCalEECellSensitive08FineHD3	Silicon
15	0.180898	HGCalEESensitive08FineHD3	Silicon
16	0.0653242	HGCalEEEpoxyT08FineHD3	Epoxy
17	0.266322	HGCalEEKapton08FineHD3	Kapton
18	0.0653242	HGCalEEEpoxyT08FineHD3	Epoxy
19	1.40698	HGCalEEBasePlate08FineHD3	WCu
20	6.08017	HGCalEECoolingPlate1	Copper
21	1.40698	HGCalEEBasePlate02FineHD3	WCu
22	0.0653242	HGCalEEEpoxyT02FineHD3	Epoxy
23	0.266322	HGCalEEKapton02FineHD3	Kapton
24	0.0653242	HGCalEEEpoxyT02FineHD3	Epoxy
25	0.180898	HGCalEESensitive02FineHD3	Silicon
26	0.120599	HGCalEECellSensitive02FineHD3	Silicon
27	0.0753741	HGCalEEEpoxy02FineHD3	Epoxy
28	1.60798	HGCalEEMotherBoard02FineHD3	HGC_G10-FR4
29	3.7486	HGCalEEConnector02FineHD3	HGC_EEConnector
30	1.60798	HGCalEEPCB02FineHD3	HGC_G10-FR4
31	0.226122	HGCalEEAirGap02FineHD3	Air
32	0.100499	HGCalEEAbsorberCopper3	Copper
33	0.301496	HGCalEEAbsorberStainlessSteel3	StainlessSteel
34	0.0502494	HGCalEEAbsorberEpoxy3	Epoxy
35	4.99479	HGCalEEAbsorberLead21	Lead
36	0.0502494	HGCalEEAbsorberEpoxy4	Epoxy
37	0.301496	HGCalEEAbsorberStainlessSteel4	StainlessSteel
38	0.100499	HGCalEEAbsorberCopper4	Copper
39	0.226122	HGCalEEAirGap08FineHD3	Air
40	1.60798	HGCalEEPCB08FineHD3	HGC_G10-FR4
41	3.7486	HGCalEEConnector08FineHD3	HGC_EEConnector
42	1.60798	HGCalEEMotherBoard08FineHD3	HGC_G10-FR4
43	0.0753741	HGCalEEEpoxy08FineHD3	Epoxy
44	0.120599	HGCalEECellSensitive08FineHD3	Silicon
45	0.180898	HGCalEESensitive08FineHD3	Silicon
46	0.0653242	HGCalEEEpoxyT08FineHD3	Epoxy
47	0.266322	HGCalEEKapton08FineHD3	Kapton
48	0.0653242	HGCalEEEpoxyT08FineHD3	Epoxy
49	1.40698	HGCalEEBasePlate08FineHD3	WCu
50	6.08017	HGCalEECoolingPlate2	Copper
51	1.40698	HGCalEEBasePlate02FineHD3	WCu
52	0.0653242	HGCalEEEpoxyT02FineHD3	Epoxy
53	0.266322	HGCalEEKapton02FineHD3	Kapton
54	0.0653242	HGCalEEEpoxyT02FineHD3	Epoxy
55	0.180898	HGCalEESensitive02FineHD3	Silicon
56	0.120599	HGCalEECellSensitive02FineHD3	Silicon
57	0.0753741	HGCalEEEpoxy02FineHD3	Epoxy
58	1.60798	HGCalEEMotherBoard02FineHD3	HGC_G10-FR4
59	3.7486	HGCalEEConnector02FineHD3	HGC_EEConnector
60	1.60798	HGCalEEPCB02FineHD3	HGC_G10-FR4
61	0.226122	HGCalEEAirGap02FineHD3	Air
62	0.100499	HGCalEEAbsorberCopper5	Copper
63	0.301496	HGCalEEAbsorberStainlessSteel5	StainlessSteel
