New run! (theta, phi) = 
33.6901	19.827
1	3412.81	logic-World	Galactic
2	0.106301	HGCalEEAbsorberCopper1	Copper
3	0.318904	HGCalEEAbsorberStainlessSteel1	StainlessSteel
4	0.0531507	HGCalEEAbsorberEpoxy1	Epoxy
5	2.94455	HGCalEEAbsorberLead11	Lead
6	0.0531507	HGCalEEAbsorberEpoxy2	Epoxy
7	0.318904	HGCalEEAbsorberStainlessSteel2	StainlessSteel
8	0.106301	HGCalEEAbsorberCopper2	Copper
9	0.239178	HGCalEEAirGap10Coarse2	Air
10	1.70082	HGCalEEPCB10Coarse2	HGC_G10-FR4
11	3.96504	HGCalEEConnector10Coarse2	HGC_EEConnector
12	1.70082	HGCalEEMotherBoard10Coarse2	HGC_G10-FR4
13	0.0797261	HGCalEEEpoxy10Coarse2	Epoxy
14	0.318904	HGCalEECellSensitiveExten06Coarse2	Silicon
15	0.0690959	HGCalEEEpoxyT10Coarse2	Epoxy
16	0.281699	HGCalEEKapton10Coarse2	Kapton
17	0.0690959	HGCalEEEpoxyT10Coarse2	Epoxy
18	1.48822	HGCalEEBasePlate10Coarse2	WCu
19	6.43124	HGCalEECoolingPlate1	Copper
20	1.48822	HGCalEEBasePlate02Coarse2	WCu
21	0.0690959	HGCalEEEpoxyT02Coarse2	Epoxy
22	0.281699	HGCalEEKapton02Coarse2	Kapton
23	0.0690959	HGCalEEEpoxyT02Coarse2	Epoxy
24	0.318904	HGCalEECellSensitiveFull1Coarse2	Silicon
25	0.0797261	HGCalEEEpoxy02Coarse2	Epoxy
26	1.70082	HGCalEEMotherBoard02Coarse2	HGC_G10-FR4
27	3.96504	HGCalEEConnector02Coarse2	HGC_EEConnector
28	1.70082	HGCalEEPCB02Coarse2	HGC_G10-FR4
29	0.239178	HGCalEEAirGap02Coarse2	Air
30	0.106301	HGCalEEAbsorberCopper3	Copper
31	0.318904	HGCalEEAbsorberStainlessSteel3	StainlessSteel
32	0.0531507	HGCalEEAbsorberEpoxy3	Epoxy
33	5.28318	HGCalEEAbsorberLead21	Lead
34	0.0531507	HGCalEEAbsorberEpoxy4	Epoxy
35	0.318904	HGCalEEAbsorberStainlessSteel4	StainlessSteel
36	0.106301	HGCalEEAbsorberCopper4	Copper
37	0.239178	HGCalEEAirGap10Coarse2	Air
38	1.70082	HGCalEEPCB10Coarse2	HGC_G10-FR4
39	3.96504	HGCalEEConnector10Coarse2	HGC_EEConnector
40	1.70082	HGCalEEMotherBoard10Coarse2	HGC_G10-FR4
41	0.0797261	HGCalEEEpoxy10Coarse2	Epoxy
42	0.318904	HGCalEECellSensitiveExten06Coarse2	Silicon
43	0.0690959	HGCalEEEpoxyT10Coarse2	Epoxy
44	0.281699	HGCalEEKapton10Coarse2	Kapton
45	0.0690959	HGCalEEEpoxyT10Coarse2	Epoxy
46	1.48822	HGCalEEBasePlate10Coarse2	WCu
47	6.43124	HGCalEECoolingPlate2	Copper
48	1.48822	HGCalEEBasePlate02Coarse2	WCu
49	0.0690959	HGCalEEEpoxyT02Coarse2	Epoxy
50	0.281699	HGCalEEKapton02Coarse2	Kapton
51	0.0690959	HGCalEEEpoxyT02Coarse2	Epoxy
52	0.318904	HGCalEECellSensitiveFull1Coarse2	Silicon
53	0.0797261	HGCalEEEpoxy02Coarse2	Epoxy
54	1.70082	HGCalEEMotherBoard02Coarse2	HGC_G10-FR4
55	3.96504	HGCalEEConnector02Coarse2	HGC_EEConnector
56	1.70082	HGCalEEPCB02Coarse2	HGC_G10-FR4
57	0.239178	HGCalEEAirGap02Coarse2	Air
58	0.106301	HGCalEEAbsorberCopper5	Copper
59	0.318904	HGCalEEAbsorberStainlessSteel5	StainlessSteel
60	0.0531507	HGCalEEAbsorberEpoxy5	Epoxy
61	5.28318	HGCalEEAbsorberLead22	Lead
62	0.0531507	HGCalEEAbsorberEpoxy6	Epoxy
63	0.318904	HGCalEEAbsorberStainlessSteel6	StainlessSteel
64	0.106301	HGCalEEAbsorberCopper6	Copper
65	0.239178	HGCalEEAirGap10Coarse2	Air
66	1.70082	HGCalEEPCB10Coarse2	HGC_G10-FR4
67	3.96504	HGCalEEConnector10Coarse2	HGC_EEConnector
68	1.70082	HGCalEEMotherBoard10Coarse2	HGC_G10-FR4
69	0.0797261	HGCalEEEpoxy10Coarse2	Epoxy
70	0.318904	HGCalEECellSensitiveExten06Coarse2	Silicon
71	0.0690959	HGCalEEEpoxyT10Coarse2	Epoxy
72	0.281699	HGCalEEKapton10Coarse2	Kapton
73	0.0690959	HGCalEEEpoxyT10Coarse2	Epoxy
74	1.48822	HGCalEEBasePlate10Coarse2	WCu
75	6.43124	HGCalEECoolingPlate3	Copper
76	1.48822	HGCalEEBasePlate00Coarse2	WCu
77	0.0690959	HGCalEEEpoxyT00Coarse2	Epoxy
78	0.281699	HGCalEEKapton00Coarse2	Kapton
79	0.0690959	HGCalEEEpoxyT00Coarse2	Epoxy
80	0.318904	HGCalEECellSensitiveFull1Coarse2	Silicon
81	0.0797261	HGCalEEEpoxy00Coarse2	Epoxy
82	1.70082	HGCalEEMotherBoard00Coarse2	HGC_G10-FR4
83	3.96504	HGCalEEConnector00Coarse2	HGC_EEConnector
84	1.70082	HGCalEEPCB00Coarse2	HGC_G10-FR4
