New run! (theta, phi) = 
105	0.233827	HGCalEEAirGap10Coarse1	Air
106	1.66277	HGCalEEPCB10Coarse1	HGC_G10-FR4
107	3.87633	HGCalEEConnector10Coarse1	HGC_EEConnector
108	1.66277	HGCalEEMotherBoard10Coarse1	HGC_G10-FR4
109	0.0779423	HGCalEEEpoxy10Coarse1	Epoxy
110	0.0519615	HGCalEEWafer10Coarse1	Air
111	0.207846	HGCalEECellSensitiveExten06Coarse1	Silicon
112	0.0519615	HGCalEEWafer10Coarse1	Air
113	0.06755	HGCalEEEpoxyT10Coarse1	Epoxy
114	0.275396	HGCalEEKapton10Coarse1	Kapton
115	0.06755	HGCalEEEpoxyT10Coarse1	Epoxy
116	1.45492	HGCalEEBasePlate10Coarse1	WCu
117	6.28734	HGCalEECoolingPlate4	Copper
118	1.45492	HGCalEEBasePlate00Coarse1	WCu
119	0.06755	HGCalEEEpoxyT00Coarse1	Epoxy
120	0.275396	HGCalEEKapton00Coarse1	Kapton
121	0.06755	HGCalEEEpoxyT00Coarse1	Epoxy
122	0.0519615	HGCalEEWafer00Coarse1	Air
123	0.207846	HGCalEECellSensitiveFull1Coarse1	Silicon
124	0.0519615	HGCalEEWafer00Coarse1	Air
125	0.0779423	HGCalEEEpoxy00Coarse1	Epoxy
126	1.66277	HGCalEEMotherBoard00Coarse1	HGC_G10-FR4
127	3.87633	HGCalEEConnector00Coarse1	HGC_EEConnector
128	1.66277	HGCalEEPCB00Coarse1	HGC_G10-FR4
129	0.233827	HGCalEEAirGap00Coarse1	Air
130	0.103923	HGCalEEAbsorberCopper9	Copper
131	0.311769	HGCalEEAbsorberStainlessSteel9	StainlessSteel
132	0.0519615	HGCalEEAbsorberEpoxy9	Epoxy
133	5.16498	HGCalEEAbsorberLead24	Lead
134	0.0519615	HGCalEEAbsorberEpoxy10	Epoxy
135	0.311769	HGCalEEAbsorberStainlessSteel10	StainlessSteel
136	0.103923	HGCalEEAbsorberCopper10	Copper
137	0.233827	HGCalEEAirGap10Coarse1	Air
138	1.66277	HGCalEEPCB10Coarse1	HGC_G10-FR4
139	3.87633	HGCalEEConnector10Coarse1	HGC_EEConnector
140	1.66277	HGCalEEMotherBoard10Coarse1	HGC_G10-FR4
141	0.0779423	HGCalEEEpoxy10Coarse1	Epoxy
142	0.0519615	HGCalEEWafer10Coarse1	Air
143	0.207846	HGCalEECellSensitiveCorner11Coarse1	Silicon
144	0.0519615	HGCalEEWafer10Coarse1	Air
145	0.06755	HGCalEEEpoxyT10Coarse1	Epoxy
146	0.275396	HGCalEEKapton10Coarse1	Kapton
147	0.06755	HGCalEEEpoxyT10Coarse1	Epoxy
148	1.45492	HGCalEEBasePlate10Coarse1	WCu
149	6.28734	HGCalEECoolingPlate5	Copper
150	1.45492	HGCalEEBasePlate00Coarse1	WCu
151	0.06755	HGCalEEEpoxyT00Coarse1	Epoxy
152	0.275396	HGCalEEKapton00Coarse1	Kapton
153	0.06755	HGCalEEEpoxyT00Coarse1	Epoxy
154	0.0519615	HGCalEEWafer00Coarse1	Air
155	0.207846	HGCalEECellSensitiveCorner25Coarse1	Silicon
156	0.0519615	HGCalEEWafer00Coarse1	Air
157	0.0779423	HGCalEEEpoxy00Coarse1	Epoxy
158	1.66277	HGCalEEMotherBoard00Coarse1	HGC_G10-FR4
