New run! (theta, phi) = 
26.5651	6.37937
1	3230.5	logic-World	Galactic
104	0.120748	HGCalEECellSensitive09FineHD3	Silicon
105	0.181122	HGCalEESensitive09FineHD3	Silicon
106	0.065405	HGCalEEEpoxyT09FineHD3	Epoxy
107	0.266651	HGCalEEKapton09FineHD3	Kapton
108	0.065405	HGCalEEEpoxyT09FineHD3	Epoxy
109	1.40872	HGCalEEBasePlate09FineHD3	WCu
110	6.0877	HGCalEECoolingPlate4	Copper
111	1.40872	HGCalEEBasePlate01FineHD3	WCu
112	0.065405	HGCalEEEpoxyT01FineHD3	Epoxy
113	0.266651	HGCalEEKapton01FineHD3	Kapton
114	0.065405	HGCalEEEpoxyT01FineHD3	Epoxy
115	0.181122	HGCalEESensitive01FineHD3	Silicon
116	0.120748	HGCalEECellSensitive01FineHD3	Silicon
117	0.0754673	HGCalEEEpoxy01FineHD3	Epoxy
118	1.60997	HGCalEEMotherBoard01FineHD3	HGC_G10-FR4
119	3.75324	HGCalEEConnector01FineHD3	HGC_EEConnector
120	1.60997	HGCalEEPCB01FineHD3	HGC_G10-FR4
121	0.226402	HGCalEEAirGap01FineHD3	Air
122	0.100623	HGCalEEAbsorberCopper9	Copper
123	0.301869	HGCalEEAbsorberStainlessSteel9	StainlessSteel
124	0.0503115	HGCalEEAbsorberEpoxy9	Epoxy
125	5.00097	HGCalEEAbsorberLead24	Lead
126	0.0503115	HGCalEEAbsorberEpoxy10	Epoxy
127	0.301869	HGCalEEAbsorberStainlessSteel10	StainlessSteel
128	0.100623	HGCalEEAbsorberCopper10	Copper
129	0.226402	HGCalEEAirGap09FineHD3	Air
130	1.60997	HGCalEEPCB09FineHD3	HGC_G10-FR4
131	3.75324	HGCalEEConnector09FineHD3	HGC_EEConnector
132	1.31917	HGCalEEMotherBoard09FineHD3	HGC_G10-FR4
133	0.733542	HGCalEEWafer09FineHD3	Air
134	0.266651	HGCalEEKapton09FineHD3	Kapton
135	0.065405	HGCalEEWafer09FineHD3	Air
136	0.946863	HGCalEEBasePlate09FineHD3	WCu
137	0.46186	HGCalEEWafer09FineHD3	Air
138	6.0877	HGCalEECoolingPlate5	Copper
139	1.47413	HGCalEEWafer05Fine	Air
140	0.266651	HGCalEEKapton05Fine	Kapton
141	1.26886	HGCalEEWafer05Fine	Air
142	0.783854	HGCalEEMotherBoard05Fine	HGC_G10-FR4
143	3.75324	HGCalEEConnector05Fine	HGC_EEConnector
144	1.60997	HGCalEEPCB05Fine	HGC_G10-FR4
145	0.226402	HGCalEEAirGap05Fine	Air
146	0.100623	HGCalEEAbsorberCopper11	Copper
147	0.301869	HGCalEEAbsorberStainlessSteel11	StainlessSteel
148	0.0503115	HGCalEEAbsorberEpoxy11	Epoxy
149	5.00097	HGCalEEAbsorberLead25	Lead
150	0.0503115	HGCalEEAbsorberEpoxy12	Epoxy
151	0.301869	HGCalEEAbsorberStainlessSteel12	StainlessSteel
152	0.100623	HGCalEEAbsorberCopper12	Copper
153	0.226402	HGCalEEAirGap11Fine	Air
154	1.60997	HGCalEEPCB11Fine	HGC_G10-FR4
155	3.75324	HGCalEEConnector11Fine	HGC_EEConnector
156	1.60997	HGCalEEMotherBoard11Fine	HGC_G10-FR4
157	0.0754673	HGCalEEEpoxy11Fine	Epoxy
158	0.120748	HGCalEECellSensitiveExten03Fine	Silicon
159	0.181122	HGCalEECellExten03Fine	Silicon
160	0.065405	HGCalEEEpoxyT11Fine	Epoxy
161	0.266651	HGCalEEKapton11Fine	Kapton
162	0.065405	HGCalEEEpoxyT11Fine	Epoxy
163	1.40872	HGCalEEBasePlate11Fine	WCu
164	6.0877	HGCalEECoolingPlate6	Copper
165	1.40872	HGCalEEBasePlate05Fine	WCu
166	0.065405	HGCalEEEpoxyT05Fine	Epoxy
167	0.266651	HGCalEEKapton05Fine	Kapton
168	0.065405	HGCalEEEpoxyT05Fine	Epoxy
169	0.181122	HGCalEECellTrunc26Fine	Silicon
170	0.120748	HGCalEECellSensitiveTrunc26Fine	Silicon
171	0.0754673	HGCalEEEpoxy05Fine	Epoxy
172	1.60997	HGCalEEMotherBoard05Fine	HGC_G10-FR4
173	3.75324	HGCalEEConnector05Fine	HGC_EEConnector
174	1.60997	HGCalEEPCB05Fine	HGC_G10-FR4
175	0.226402	HGCalEEAirGap05Fine	Air
176	0.100623	HGCalEEAbsorberCopper13	Copper
177	0.301869	HGCalEEAbsorberStainlessSteel13	StainlessSteel
178	0.0503115	HGCalEEAbsorberEpoxy13	Epoxy
179	5.00097	HGCalEEAbsorberLead26	Lead
180	0.0503115	HGCalEEAbsorberEpoxy14	Epoxy
181	0.301869	HGCalEEAbsorberStainlessSteel14	StainlessSteel
182	0.100623	HGCalEEAbsorberCopper14	Copper
183	0.226402	HGCalEEAirGap11Fine	Air
184	1.60997	HGCalEEPCB11Fine	HGC_G10-FR4
185	3.75324	HGCalEEConnector11Fine	HGC_EEConnector
186	1.60997	HGCalEEMotherBoard11Fine	HGC_G10-FR4
187	0.0754673	HGCalEEEpoxy11Fine	Epoxy
188	0.120748	HGCalEECellSensitiveExten03Fine	Silicon
189	0.181122	HGCalEECellExten03Fine	Silicon
190	0.065405	HGCalEEEpoxyT11Fine	Epoxy
191	0.266651	HGCalEEKapton11Fine	Kapton
192	0.065405	HGCalEEEpoxyT11Fine	Epoxy
193	1.40872	HGCalEEBasePlate11Fine	WCu
194	6.0877	HGCalEECoolingPlate7	Copper
195	1.40872	HGCalEEBasePlate05Fine	WCu
196	0.065405	HGCalEEEpoxyT05Fine	Epoxy
197	0.266651	HGCalEEKapton05Fine	Kapton
198	0.065405	HGCalEEEpoxyT05Fine	Epoxy
199	0.181122	HGCalEECellFull1Fine	Silicon
200	0.120748	HGCalEECellSensitiveFull1Fine	Silicon
201	0.0754673	HGCalEEEpoxy05Fine	Epoxy
202	1.60997	HGCalEEMotherBoard05Fine	HGC_G10-FR4
203	3.75324	HGCalEEConnector05Fine	HGC_EEConnector
204	1.60997	HGCalEEPCB05Fine	HGC_G10-FR4
205	0.226402	HGCalEEAirGap05Fine	Air
206	0.100623	HGCalEEAbsorberCopper15	Copper
207	0.301869	HGCalEEAbsorberStainlessSteel15	StainlessSteel
208	0.0503115	HGCalEEAbsorberEpoxy15	Epoxy
209	5.00097	HGCalEEAbsorberLead27	Lead
210	0.0503115	HGCalEEAbsorberEpoxy16	Epoxy
211	0.301869	HGCalEEAbsorberStainlessSteel16	StainlessSteel
212	0.100623	HGCalEEAbsorberCopper16	Copper
213	0.226402	HGCalEEAirGap11Fine	Air
214	1.60997	HGCalEEPCB11Fine	HGC_G10-FR4
215	3.75324	HGCalEEConnector11Fine	HGC_EEConnector
216	1.60997	HGCalEEMotherBoard11Fine	HGC_G10-FR4
217	0.0754673	HGCalEEEpoxy11Fine	Epoxy
218	0.120748	HGCalEECellSensitiveFull0Fine	Silicon
219	0.181122	HGCalEECellFull0Fine	Silicon
220	0.065405	HGCalEEEpoxyT11Fine	Epoxy
221	0.266651	HGCalEEKapton11Fine	Kapton
222	0.065405	HGCalEEEpoxyT11Fine	Epoxy
223	1.40872	HGCalEEBasePlate11Fine	WCu
224	6.0877	HGCalEECoolingPlate8	Copper
225	1.40872	HGCalEEBasePlate05Fine	WCu
226	0.065405	HGCalEEEpoxyT05Fine	Epoxy
227	0.266651	HGCalEEKapton05Fine	Kapton
228	0.065405	HGCalEEEpoxyT05Fine	Epoxy
229	0.181122	HGCalEECellFull1Fine	Silicon
230	0.120748	HGCalEECellSensitiveFull1Fine	Silicon
231	0.0754673	HGCalEEEpoxy05Fine	Epoxy
232	1.60997	HGCalEEMotherBoard05Fine	HGC_G10-FR4
233	3.75324	HGCalEEConnector05Fine	HGC_EEConnector
234	1.60997	HGCalEEPCB05Fine	HGC_G10-FR4
235	0.226402	HGCalEEAirGap05Fine	Air
236	0.100623	HGCalEEAbsorberCopper17	Copper
237	0.301869	HGCalEEAbsorberStainlessSteel17	StainlessSteel
238	0.0503115	HGCalEEAbsorberEpoxy17	Epoxy
239	5.00097	HGCalEEAbsorberLead28	Lead
240	0.0503115	HGCalEEAbsorberEpoxy18	Epoxy
241	0.301869	HGCalEEAbsorberStainlessSteel18	StainlessSteel
242	0.100623	HGCalEEAbsorberCopper18	Copper
243	0.226402	HGCalEEAirGap11Fine	Air
244	1.60997	HGCalEEPCB11Fine	HGC_G10-FR4
245	3.75324	HGCalEEConnector11Fine	HGC_EEConnector
246	1.60997	HGCalEEMotherBoard11Fine	HGC_G10-FR4
247	0.0754673	HGCalEEEpoxy11Fine	Epoxy
248	0.120748	HGCalEECellSensitiveFull0Fine	Silicon
249	0.181122	HGCalEECellFull0Fine	Silicon
250	0.065405	HGCalEEEpoxyT11Fine	Epoxy
251	0.266651	HGCalEEKapton11Fine	Kapton
252	0.065405	HGCalEEEpoxyT11Fine	Epoxy
253	1.40872	HGCalEEBasePlate11Fine	WCu
254	6.0877	HGCalEECoolingPlate9	Copper
255	1.40872	HGCalEEBasePlate05Fine	WCu
256	0.065405	HGCalEEEpoxyT05Fine	Epoxy
257	0.266651	HGCalEEKapton05Fine	Kapton
258	0.065405	HGCalEEEpoxyT05Fine	Epoxy
259	0.181122	HGCalEECellFull1Fine	Silicon
260	0.120748	HGCalEECellSensitiveFull1Fine	Silicon
261	0.0754673	HGCalEEEpoxy05Fine	Epoxy
262	1.60997	HGCalEEMotherBoard05Fine	HGC_G10-FR4
263	3.75324	HGCalEEConnector05Fine	HGC_EEConnector
264	1.60997	HGCalEEPCB05Fine	HGC_G10-FR4
265	0.226402	HGCalEEAirGap05Fine	Air
266	0.100623	HGCalEEAbsorberCopper19	Copper
267	0.301869	HGCalEEAbsorberStainlessSteel19	StainlessSteel
268	0.0503115	HGCalEEAbsorberEpoxy19	Epoxy
269	8.27122	HGCalEEAbsorberLead31	Lead
270	0.0503115	HGCalEEAbsorberEpoxy20	Epoxy
271	0.301869	HGCalEEAbsorberStainlessSteel20	StainlessSteel
272	0.100623	HGCalEEAbsorberCopper20	Copper
273	0.226402	HGCalEEAirGap11Fine	Air
274	1.60997	HGCalEEPCB11Fine	HGC_G10-FR4
275	3.75324	HGCalEEConnector11Fine	HGC_EEConnector
276	1.60997	HGCalEEMotherBoard11Fine	HGC_G10-FR4
277	0.0754673	HGCalEEEpoxy11Fine	Epoxy
278	0.120748	HGCalEECellSensitiveFull0Fine	Silicon
279	0.181122	HGCalEECellFull0Fine	Silicon
280	0.065405	HGCalEEEpoxyT11Fine	Epoxy
281	0.266651	HGCalEEKapton11Fine	Kapton
282	0.065405	HGCalEEEpoxyT11Fine	Epoxy
283	1.40872	HGCalEEBasePlate11Fine	WCu
284	6.0877	HGCalEECoolingPlate10	Copper
285	1.40872	HGCalEEBasePlate05Fine	WCu
286	0.065405	HGCalEEEpoxyT05Fine	Epoxy
287	0.266651	HGCalEEKapton05Fine	Kapton
288	0.065405	HGCalEEEpoxyT05Fine	Epoxy
289	0.181122	HGCalEECellFull1Fine	Silicon
290	0.120748	HGCalEECellSensitiveFull1Fine	Silicon
291	0.0754673	HGCalEEEpoxy05Fine	Epoxy
292	1.60997	HGCalEEMotherBoard05Fine	HGC_G10-FR4
293	3.75324	HGCalEEConnector05Fine	HGC_EEConnector
294	1.60997	HGCalEEPCB05Fine	HGC_G10-FR4
295	0.226402	HGCalEEAirGap05Fine	Air
296	0.100623	HGCalEEAbsorberCopper21	Copper
297	0.301869	HGCalEEAbsorberStainlessSteel21	StainlessSteel
298	0.0503115	HGCalEEAbsorberEpoxy21	Epoxy
299	8.27122	HGCalEEAbsorberLead32	Lead
300	0.0503115	HGCalEEAbsorberEpoxy22	Epoxy
301	0.301869	HGCalEEAbsorberStainlessSteel22	StainlessSteel
302	0.100623	HGCalEEAbsorberCopper22	Copper
303	0.226402	HGCalEEAirGap11Fine	Air
304	1.60997	HGCalEEPCB11Fine	HGC_G10-FR4
305	3.75324	HGCalEEConnector11Fine	HGC_EEConnector
306	1.60997	HGCalEEMotherBoard11Fine	HGC_G10-FR4
307	0.0754673	HGCalEEEpoxy11Fine	Epoxy
308	0.120748	HGCalEECellSensitiveFull0Fine	Silicon
309	0.181122	HGCalEECellFull0Fine	Silicon
310	0.065405	HGCalEEEpoxyT11Fine	Epoxy
311	0.266651	HGCalEEKapton11Fine	Kapton
